,0,1,2,3,4,5,6,7,8,9
0,0.8829145728643216,0.00043649061545176777,0.013799448022079117,0.06628571428571428,0.0017043033659991478,0.0,0.1364545818327331,0.0,0.0043308791684712,0.0004246284501061571
1,0.0005025125628140704,0.9934526407682235,0.00045998160073597056,0.01638095238095238,0.0012782275244993609,0.0,0.0012004801920768306,0.0,0.0008661758336942399,0.0004246284501061571
2,0.009547738693467337,0.0,0.8445262189512419,0.019809523809523808,0.07967618236046016,0.0,0.07923169267707082,0.0,0.0030316154179298397,0.0
3,0.01407035175879397,0.004364906154517678,0.0036798528058877645,0.8041904761904762,0.02556455048998722,0.0,0.011204481792717087,0.0,0.00043308791684711995,0.0
4,0.0020100502512562816,0.0008729812309035355,0.07221711131554738,0.03542857142857143,0.8406476352790797,0.0,0.05922368947579031,0.0,0.0017323516673884798,0.0
5,0.0,0.00043649061545176777,0.0,0.0019047619047619048,0.0,0.967337807606264,0.0008003201280512205,0.012747252747252748,0.0038977912516240795,0.022505307855626325
6,0.08592964824120602,0.00043649061545176777,0.061637534498620056,0.04342857142857143,0.048146570089475926,0.0,0.7038815526210485,0.0,0.0043308791684712,0.0
7,0.0,0.0,0.0,0.0007619047619047619,0.0,0.024608501118568233,0.0,0.9604395604395605,0.0021654395842356,0.030573248407643312
8,0.005025125628140704,0.0,0.0036798528058877645,0.009142857142857144,0.002982530890498509,0.0013422818791946308,0.008003201280512205,0.0,0.978345604157644,0.0
9,0.0,0.0,0.0,0.0026666666666666666,0.0,0.006711409395973154,0.0,0.026813186813186812,0.0008661758336942399,0.9460721868365181
