,0,1,2,3,4,5,6,7,8,9
0,0.5378583680470473,0.004647232784114913,0.008490566037735849,0.02258064516129032,0.0009624639076034649,0.00047281323877068556,0.023923444976076555,0.0,0.007642799678197908,0.0
1,0.0058809115412889,0.9602872834811998,0.0004716981132075472,0.00913978494623656,0.0,0.0,0.005582137161084529,0.0,0.0008045052292839903,0.00238758456028651
2,0.022053418279833373,0.0008449514152936206,0.8306603773584905,0.004838709677419355,0.0904716073147257,0.0,0.17862838915470494,0.0,0.00925181013676589,0.0007958615200955034
3,0.07792207792207792,0.030418250950570342,0.0018867924528301887,0.9010752688172043,0.008180943214629451,0.0,0.07974481658692185,0.0,0.01246983105390185,0.011142061281337047
4,0.04484195050232786,0.0021123785382340513,0.08254716981132075,0.030107526881720432,0.8209817131857555,0.0,0.18261562998405104,0.0,0.01086082059533387,0.0
5,0.0002450379808870375,0.0,0.0,0.0005376344086021505,0.0,0.9829787234042553,0.0,0.013477088948787063,0.025341914722445697,0.0346199761241544
6,0.3018867924528302,0.0008449514152936206,0.07547169811320754,0.03064516129032258,0.07795957651588066,0.00047281323877068556,0.5239234449760766,0.0,0.012067578439259855,0.0003979307600477517
7,0.0,0.0,0.0,0.0,0.0,0.011347517730496455,0.0,0.9707996406109614,0.00040225261464199515,0.052924791086350974
8,0.0073511394266111245,0.0008449514152936206,0.0004716981132075472,0.001075268817204301,0.0014436958614051972,0.0014184397163120568,0.005582137161084529,0.0008984725965858042,0.915929203539823,0.0015917230401910067
9,0.0019603038470963,0.0,0.0,0.0,0.0,0.003309692671394799,0.0,0.014824797843665768,0.005229283990345938,0.8961400716275368
